"k"	"p"	"c"	"o"	"f"	"g"	"s"
"k_Bacteria"	"p_Actinobacteria"	"c_Coriobacteriia"	"o_Eggerthellales"	"f_Eggerthellaceae"	"g_Gordonibacter"	"s_Gordonibacter_pamelaeae"
"k_Bacteria"	"p_Actinobacteria"	"c_Coriobacteriia"	"o_Eggerthellales"	"f_Eggerthellaceae"	"g_Eggerthella"	"s_Eggerthella_sp_YY7918"
"k_Bacteria"	"p_Actinobacteria"	"c_Coriobacteriia"	"o_Eggerthellales"	"f_Eggerthellaceae"	"g_Eggerthella"	"s_Eggerthella_lenta"
"k_Bacteria"	"p_Actinobacteria"	"c_Coriobacteriia"	"o_Coriobacteriales"	"f_Coriobacteriaceae"	"g_Collinsella"	"s_Collinsella_stercoris"
"k_Bacteria"	"p_Actinobacteria"	"c_Coriobacteriia"	"o_Coriobacteriales"	"f_Atopobiaceae"	"g_Atopobium"	"s_Atopobium_parvulum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Rothia"	"s_Rothia_mucilaginosa"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Rothia"	"s_Rothia_dentocariosa"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Kocuria"	"s_Kocuria_rhizophila"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	NA	NA
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Microbacteriaceae"	NA	NA
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Microbacteriaceae"	"g_Curtobacterium"	"s_Curtobacterium_flaccumfaciens"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Microbacteriaceae"	"g_Clavibacter"	"s_Clavibacter_michiganensis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Microbacteriaceae"	"g_Microbacterium"	"s_Microbacterium_sp_C448"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Microbacteriaceae"	"g_Microbacterium"	"s_Microbacterium_sp_No_7"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Arthrobacter"	"s_Arthrobacter_sp_IHBB_11108"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Arthrobacter"	"s_Arthrobacter_sp_H14"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Kocuria"	"s_Kocuria_palustris"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Glutamicibacter"	"s_Glutamicibacter_arilaitensis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Arthrobacter"	"s_Arthrobacter_sp_PAMC_25486"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Arthrobacter"	"s_Arthrobacter_sp_LS16"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Kocuria"	"s_Kocuria_flava"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Rothia"	NA
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f_Micrococcaceae"	"g_Kocuria"	"s_Kocuria_turfanensis"
"k_Bacteria"	"p_Actinobacteria"	"c_Coriobacteriia"	NA	NA	NA	NA
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Pseudopropionibacterium"	"s_Pseudopropionibacterium_propionicum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Cutibacterium"	"s_Cutibacterium_acnes"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micromonosporales"	"f_Micromonosporaceae"	"g_Micromonospora"	"s_Micromonospora_aurantiaca"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micromonosporales"	"f_Micromonosporaceae"	"g_Actinoplanes"	"s_Actinoplanes_friuliensis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Acidipropionibacterium"	"s_Acidipropionibacterium_jensenii"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Acidipropionibacterium"	"s_Acidipropionibacterium_acidipropionici"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Cutibacterium"	NA
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Granulicoccus"	"s_Granulicoccus_phenolivorans"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Cutibacterium"	"s_Cutibacterium_avidum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Propionibacterium"	"s_Propionibacterium_acidifaciens"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Propionibacterium"	"s_Propionibacterium_sp_oral_taxon_192"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Propionibacteriales"	"f_Propionibacteriaceae"	"g_Propionibacterium"	"s_Propionibacterium_freudenreichii"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Pseudonocardiales"	"f_Pseudonocardiaceae"	"g_Saccharomonospora"	"s_Saccharomonospora_viridis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Pseudonocardiales"	"f_Pseudonocardiaceae"	"g_Amycolatopsis"	"s_Amycolatopsis_mediterranei"
